sample.id,value,epitope.id,paper.name
PICI0002_A05_K01621KE01_SPB_A03,0.046736219,TBX21,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01621KE01_SPB_A03,0.16028274,ITAX,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01621KE01_SPB_A03,0.21170982,PDCD1,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01621KE01_SPB_A03,0.004405037,KI67,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01621KE01_SPB_A03,7.214578855,DRA,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01621KE01_SPB_A03,1.378363619,CD38,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01621KE01_SPB_A03,0.212602398,CTLA4,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01621KE01_SPB_A03,0,HAVR2,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01621KE01_SPB_A03,15.81735981,TNR5,CCR7+ CD11b+ CD27- B cells
BK00944EB01,11.24320063,TNR5,CCR7+ CD11b+ CD27- B cells
BK00944EB01,0.504528654,ITAX,CCR7+ CD11b+ CD27- B cells
BK00944EB01,1.504758904,CD38,CCR7+ CD11b+ CD27- B cells
BK00944EB01,2.834676707,DRA,CCR7+ CD11b+ CD27- B cells
BK00944EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00944EB01,0.024737961,KI67,CCR7+ CD11b+ CD27- B cells
BK00944EB01,0.122645421,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00944EB01,0.028458093,TBX21,CCR7+ CD11b+ CD27- B cells
BK00944EB01,1.134917867,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00105EB01,0.254385912,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00105EB01,1.651594028,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00105EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00105EB01,0.042308735,KI67,CCR7+ CD11b+ CD27- B cells
BK00105EB01,0.388997869,ITAX,CCR7+ CD11b+ CD27- B cells
BK00105EB01,2.083406047,DRA,CCR7+ CD11b+ CD27- B cells
BK00105EB01,0.13115035,TBX21,CCR7+ CD11b+ CD27- B cells
BK00105EB01,0.877071884,CD38,CCR7+ CD11b+ CD27- B cells
BK00105EB01,10.92103341,TNR5,CCR7+ CD11b+ CD27- B cells
BK00954EB02,0.08417714,TBX21,CCR7+ CD11b+ CD27- B cells
BK00954EB02,0.055836511,KI67,CCR7+ CD11b+ CD27- B cells
BK00954EB02,0.286348513,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00954EB02,1.13898227,ITAX,CCR7+ CD11b+ CD27- B cells
BK00954EB02,1.345800499,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00954EB02,3.722492501,DRA,CCR7+ CD11b+ CD27- B cells
BK00954EB02,0.918732982,CD38,CCR7+ CD11b+ CD27- B cells
BK00954EB02,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00954EB02,15.74930182,TNR5,CCR7+ CD11b+ CD27- B cells
BK01093EB01,0.025248311,KI67,CCR7+ CD11b+ CD27- B cells
BK01093EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK01093EB01,0.567798474,PDCD1,CCR7+ CD11b+ CD27- B cells
BK01093EB01,0.025574336,TBX21,CCR7+ CD11b+ CD27- B cells
BK01093EB01,0.719875198,ITAX,CCR7+ CD11b+ CD27- B cells
BK01093EB01,0.25082077,CTLA4,CCR7+ CD11b+ CD27- B cells
BK01093EB01,15.37848888,TNR5,CCR7+ CD11b+ CD27- B cells
BK01093EB01,3.542760252,DRA,CCR7+ CD11b+ CD27- B cells
BK01093EB01,0.51376427,CD38,CCR7+ CD11b+ CD27- B cells
BK00149EB01,3.985517324,DRA,CCR7+ CD11b+ CD27- B cells
BK00149EB01,9.942876994,TNR5,CCR7+ CD11b+ CD27- B cells
BK00149EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00149EB01,0.332185244,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00149EB01,0.846936723,ITAX,CCR7+ CD11b+ CD27- B cells
BK00149EB01,0.429493418,CD38,CCR7+ CD11b+ CD27- B cells
BK00149EB01,0.02236506,KI67,CCR7+ CD11b+ CD27- B cells
BK00149EB01,0.058015594,TBX21,CCR7+ CD11b+ CD27- B cells
BK00149EB01,0.202586416,CTLA4,CCR7+ CD11b+ CD27- B cells
BK02078EB01,4.537484603,DRA,CCR7+ CD11b+ CD27- B cells
BK02078EB01,1.05671703,CD38,CCR7+ CD11b+ CD27- B cells
BK02078EB01,0.016509249,TBX21,CCR7+ CD11b+ CD27- B cells
BK02078EB01,0.638600858,ITAX,CCR7+ CD11b+ CD27- B cells
BK02078EB01,9.934502338,TNR5,CCR7+ CD11b+ CD27- B cells
BK02078EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK02078EB01,0.148211542,CTLA4,CCR7+ CD11b+ CD27- B cells
BK02078EB01,0.503535953,PDCD1,CCR7+ CD11b+ CD27- B cells
BK02078EB01,0.018911284,KI67,CCR7+ CD11b+ CD27- B cells
BK01108EB01,0.462200529,CD38,CCR7+ CD11b+ CD27- B cells
BK01108EB01,0.27380516,CTLA4,CCR7+ CD11b+ CD27- B cells
BK01108EB01,0.041452685,TBX21,CCR7+ CD11b+ CD27- B cells
BK01108EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK01108EB01,0.032682249,KI67,CCR7+ CD11b+ CD27- B cells
BK01108EB01,0.605213203,PDCD1,CCR7+ CD11b+ CD27- B cells
BK01108EB01,13.59954919,TNR5,CCR7+ CD11b+ CD27- B cells
BK01108EB01,0.479030156,ITAX,CCR7+ CD11b+ CD27- B cells
BK01108EB01,1.874875071,DRA,CCR7+ CD11b+ CD27- B cells
BK02082EB02,0.624236008,HAVR2,CCR7+ CD11b+ CD27- B cells
BK02082EB02,0.246504891,PDCD1,CCR7+ CD11b+ CD27- B cells
BK02082EB02,0.84786968,CD38,CCR7+ CD11b+ CD27- B cells
BK02082EB02,2.215622411,DRA,CCR7+ CD11b+ CD27- B cells
BK02082EB02,0.052312763,KI67,CCR7+ CD11b+ CD27- B cells
BK02082EB02,0.884627899,CTLA4,CCR7+ CD11b+ CD27- B cells
BK02082EB02,0.7868498,ITAX,CCR7+ CD11b+ CD27- B cells
BK02082EB02,14.87678999,TNR5,CCR7+ CD11b+ CD27- B cells
BK02082EB02,0.075396561,TBX21,CCR7+ CD11b+ CD27- B cells
BK02081EB02,6.152528382,TBX21,CCR7+ CD11b+ CD27- B cells
BK02081EB02,2.534194096,DRA,CCR7+ CD11b+ CD27- B cells
BK02081EB02,0.448429861,CTLA4,CCR7+ CD11b+ CD27- B cells
BK02081EB02,2.344390263,ITAX,CCR7+ CD11b+ CD27- B cells
BK02081EB02,0.212438841,HAVR2,CCR7+ CD11b+ CD27- B cells
BK02081EB02,0.078381897,KI67,CCR7+ CD11b+ CD27- B cells
BK02081EB02,16.58838601,TNR5,CCR7+ CD11b+ CD27- B cells
BK02081EB02,0.164811873,PDCD1,CCR7+ CD11b+ CD27- B cells
BK02081EB02,3.011504558,CD38,CCR7+ CD11b+ CD27- B cells
BK04380EB02,0.65426893,CD38,CCR7+ CD11b+ CD27- B cells
BK04380EB02,4.327626831,DRA,CCR7+ CD11b+ CD27- B cells
BK04380EB02,0.478987112,ITAX,CCR7+ CD11b+ CD27- B cells
BK04380EB02,0.192963195,TBX21,CCR7+ CD11b+ CD27- B cells
BK04380EB02,9.179644627,TNR5,CCR7+ CD11b+ CD27- B cells
BK04380EB02,0.262831178,CTLA4,CCR7+ CD11b+ CD27- B cells
BK04380EB02,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK04380EB02,0.171403848,PDCD1,CCR7+ CD11b+ CD27- B cells
BK04380EB02,0.080483907,KI67,CCR7+ CD11b+ CD27- B cells
K06486EB02,0,HAVR2,CCR7+ CD11b+ CD27- B cells
K06486EB02,0.414425431,CTLA4,CCR7+ CD11b+ CD27- B cells
K06486EB02,0.511047196,PDCD1,CCR7+ CD11b+ CD27- B cells
K06486EB02,3.332287986,DRA,CCR7+ CD11b+ CD27- B cells
K06486EB02,1.302888307,CD38,CCR7+ CD11b+ CD27- B cells
K06486EB02,0.182312021,TBX21,CCR7+ CD11b+ CD27- B cells
K06486EB02,0.086091414,KI67,CCR7+ CD11b+ CD27- B cells
K06486EB02,17.5591913,TNR5,CCR7+ CD11b+ CD27- B cells
K06486EB02,0.65617031,ITAX,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,1.181295289,CD38,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,0.602683863,ITAX,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,0.181145206,PDCD1,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,0.094243911,TBX21,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,9.216532251,TNR5,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,0,HAVR2,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,0.058264744,KI67,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,4.445846722,DRA,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01378KE01_SPB_A03,0.375706423,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00258EB01,0.020261895,KI67,CCR7+ CD11b+ CD27- B cells
BK00258EB01,8.328000265,TNR5,CCR7+ CD11b+ CD27- B cells
BK00258EB01,3.393612193,TBX21,CCR7+ CD11b+ CD27- B cells
BK00258EB01,0.174491994,ITAX,CCR7+ CD11b+ CD27- B cells
BK00258EB01,0.681901744,CD38,CCR7+ CD11b+ CD27- B cells
BK00258EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00258EB01,2.060923764,DRA,CCR7+ CD11b+ CD27- B cells
BK00258EB01,0.415947174,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00258EB01,0.03541051,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00957EB01,0.908525704,ITAX,CCR7+ CD11b+ CD27- B cells
BK00957EB01,0.030403618,TBX21,CCR7+ CD11b+ CD27- B cells
BK00957EB01,5.088908612,TNR5,CCR7+ CD11b+ CD27- B cells
BK00957EB01,0.278870203,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00957EB01,0.29479752,CD38,CCR7+ CD11b+ CD27- B cells
BK00957EB01,0.836285908,DRA,CCR7+ CD11b+ CD27- B cells
BK00957EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00957EB01,0.423560256,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00957EB01,0.026233299,KI67,CCR7+ CD11b+ CD27- B cells
BK00094EB01,1.339335444,CD38,CCR7+ CD11b+ CD27- B cells
BK00094EB01,1.686550569,ITAX,CCR7+ CD11b+ CD27- B cells
BK00094EB01,0.14819942,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00094EB01,0.106169224,TBX21,CCR7+ CD11b+ CD27- B cells
BK00094EB01,3.941691472,DRA,CCR7+ CD11b+ CD27- B cells
BK00094EB01,0.047989177,KI67,CCR7+ CD11b+ CD27- B cells
BK00094EB01,10.94726277,TNR5,CCR7+ CD11b+ CD27- B cells
BK00094EB01,0.002583423,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00094EB01,0.286708951,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00942EB01,5.052382934,DRA,CCR7+ CD11b+ CD27- B cells
BK00942EB01,0.061918082,TBX21,CCR7+ CD11b+ CD27- B cells
BK00942EB01,0.09533012,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00942EB01,0.036230593,KI67,CCR7+ CD11b+ CD27- B cells
BK00942EB01,11.14624173,TNR5,CCR7+ CD11b+ CD27- B cells
BK00942EB01,0.254610472,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00942EB01,1.237405806,CD38,CCR7+ CD11b+ CD27- B cells
BK00942EB01,0.967646619,ITAX,CCR7+ CD11b+ CD27- B cells
BK00942EB01,0.250755139,PDCD1,CCR7+ CD11b+ CD27- B cells
BK01092EB01,12.75825635,TNR5,CCR7+ CD11b+ CD27- B cells
BK01092EB01,0.788271121,PDCD1,CCR7+ CD11b+ CD27- B cells
BK01092EB01,2.420989765,DRA,CCR7+ CD11b+ CD27- B cells
BK01092EB01,0.543872487,ITAX,CCR7+ CD11b+ CD27- B cells
BK01092EB01,0.087481061,TBX21,CCR7+ CD11b+ CD27- B cells
BK01092EB01,0.153881254,HAVR2,CCR7+ CD11b+ CD27- B cells
BK01092EB01,0.040119865,KI67,CCR7+ CD11b+ CD27- B cells
BK01092EB01,0.998673887,CD38,CCR7+ CD11b+ CD27- B cells
BK01092EB01,0.498860605,CTLA4,CCR7+ CD11b+ CD27- B cells
BK01105EB01,11.28483173,TNR5,CCR7+ CD11b+ CD27- B cells
BK01105EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK01105EB01,0.654335305,ITAX,CCR7+ CD11b+ CD27- B cells
BK01105EB01,0.145852368,CTLA4,CCR7+ CD11b+ CD27- B cells
BK01105EB01,0.017004022,KI67,CCR7+ CD11b+ CD27- B cells
BK01105EB01,0.410517407,PDCD1,CCR7+ CD11b+ CD27- B cells
BK01105EB01,1.019502893,CD38,CCR7+ CD11b+ CD27- B cells
BK01105EB01,5.08964146,DRA,CCR7+ CD11b+ CD27- B cells
BK01105EB01,0.014790798,TBX21,CCR7+ CD11b+ CD27- B cells
BK01104EB01,0.507092006,ITAX,CCR7+ CD11b+ CD27- B cells
BK01104EB01,0.020115609,TBX21,CCR7+ CD11b+ CD27- B cells
BK01104EB01,1.104390889,DRA,CCR7+ CD11b+ CD27- B cells
BK01104EB01,0.236553713,CTLA4,CCR7+ CD11b+ CD27- B cells
BK01104EB01,6.104733003,TNR5,CCR7+ CD11b+ CD27- B cells
BK01104EB01,0.506103306,CD38,CCR7+ CD11b+ CD27- B cells
BK01104EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK01104EB01,0.159751107,PDCD1,CCR7+ CD11b+ CD27- B cells
BK01104EB01,0.016414154,KI67,CCR7+ CD11b+ CD27- B cells
BK01107EB02,11.53291993,TNR5,CCR7+ CD11b+ CD27- B cells
BK01107EB02,0.253447554,CTLA4,CCR7+ CD11b+ CD27- B cells
BK01107EB02,1.852201974,DRA,CCR7+ CD11b+ CD27- B cells
BK01107EB02,0,PDCD1,CCR7+ CD11b+ CD27- B cells
BK01107EB02,0.751096639,CD38,CCR7+ CD11b+ CD27- B cells
BK01107EB02,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK01107EB02,0.070368533,TBX21,CCR7+ CD11b+ CD27- B cells
BK01107EB02,0.073962425,KI67,CCR7+ CD11b+ CD27- B cells
BK01107EB02,0.664285143,ITAX,CCR7+ CD11b+ CD27- B cells
BK02094EB01,0.147347364,TBX21,CCR7+ CD11b+ CD27- B cells
BK02094EB01,0.454516249,CD38,CCR7+ CD11b+ CD27- B cells
BK02094EB01,0.015639768,KI67,CCR7+ CD11b+ CD27- B cells
BK02094EB01,3.309462508,DRA,CCR7+ CD11b+ CD27- B cells
BK02094EB01,0.31852031,ITAX,CCR7+ CD11b+ CD27- B cells
BK02094EB01,13.94964844,TNR5,CCR7+ CD11b+ CD27- B cells
BK02094EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK02094EB01,0.346869837,PDCD1,CCR7+ CD11b+ CD27- B cells
BK02094EB01,0.435421453,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00500EB02,0.113733724,TBX21,CCR7+ CD11b+ CD27- B cells
BK00500EB02,3.140410357,TNR5,CCR7+ CD11b+ CD27- B cells
BK00500EB02,0.782264222,CD38,CCR7+ CD11b+ CD27- B cells
BK00500EB02,2.862675502,KI67,CCR7+ CD11b+ CD27- B cells
BK00500EB02,0.86676039,DRA,CCR7+ CD11b+ CD27- B cells
BK00500EB02,1.530891699,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00500EB02,1.003112557,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00500EB02,0.191899212,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00500EB02,5.204925238,ITAX,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01635KE01_SPB_A02,0.826481792,PDCD1,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01635KE01_SPB_A02,0.039844463,TBX21,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01635KE01_SPB_A02,0.684198851,CD38,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01635KE01_SPB_A02,0.117406075,ITAX,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01635KE01_SPB_A02,4.701600292,CTLA4,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01635KE01_SPB_A02,0.154621559,HAVR2,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01635KE01_SPB_A02,22.99371461,TNR5,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01635KE01_SPB_A02,0.007744851,KI67,CCR7+ CD11b+ CD27- B cells
PICI0002_A05_K01635KE01_SPB_A02,2.662830365,DRA,CCR7+ CD11b+ CD27- B cells
BK00280EB01,0.037968556,KI67,CCR7+ CD11b+ CD27- B cells
BK00280EB01,0.952400547,CD38,CCR7+ CD11b+ CD27- B cells
BK00280EB01,4.74071936,DRA,CCR7+ CD11b+ CD27- B cells
BK00280EB01,0.427814193,ITAX,CCR7+ CD11b+ CD27- B cells
BK00280EB01,12.15126126,TNR5,CCR7+ CD11b+ CD27- B cells
BK00280EB01,0.083416372,TBX21,CCR7+ CD11b+ CD27- B cells
BK00280EB01,0.357909327,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00280EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00280EB01,0.661623868,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00599EB01,0.010666333,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00599EB01,0.263987778,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00599EB01,0.011857747,TBX21,CCR7+ CD11b+ CD27- B cells
BK00599EB01,0.185012973,ITAX,CCR7+ CD11b+ CD27- B cells
BK00599EB01,0.264584974,CD38,CCR7+ CD11b+ CD27- B cells
BK00599EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00599EB01,0.001281014,KI67,CCR7+ CD11b+ CD27- B cells
BK00599EB01,2.39276977,DRA,CCR7+ CD11b+ CD27- B cells
BK00599EB01,2.686635534,TNR5,CCR7+ CD11b+ CD27- B cells
BK00949EB02,4.049770538,DRA,CCR7+ CD11b+ CD27- B cells
BK00949EB02,21.89075125,TNR5,CCR7+ CD11b+ CD27- B cells
BK00949EB02,1.973928334,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00949EB02,0.112185403,TBX21,CCR7+ CD11b+ CD27- B cells
BK00949EB02,0.598860982,ITAX,CCR7+ CD11b+ CD27- B cells
BK00949EB02,0.538509783,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00949EB02,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00949EB02,0.012371993,KI67,CCR7+ CD11b+ CD27- B cells
BK00949EB02,1.240004161,CD38,CCR7+ CD11b+ CD27- B cells
BK00588EB01,8.880153432,TNR5,CCR7+ CD11b+ CD27- B cells
BK00588EB01,0,HAVR2,CCR7+ CD11b+ CD27- B cells
BK00588EB01,0.006755512,KI67,CCR7+ CD11b+ CD27- B cells
BK00588EB01,0.115251539,CTLA4,CCR7+ CD11b+ CD27- B cells
BK00588EB01,0.042983695,TBX21,CCR7+ CD11b+ CD27- B cells
BK00588EB01,0.439429132,PDCD1,CCR7+ CD11b+ CD27- B cells
BK00588EB01,0.476218022,CD38,CCR7+ CD11b+ CD27- B cells
BK00588EB01,1.452874916,DRA,CCR7+ CD11b+ CD27- B cells
BK00588EB01,0.505717176,ITAX,CCR7+ CD11b+ CD27- B cells
BK00940EB01,0.68331138,ITAX,CCR7+ CD11b+ CD27- B cells
BK00940EB01,1.526659971,DRA,CCR7+ CD11b+ CD27- B cells
